Mode,NLC,ASC,Station,Coverage,Source,count,type,day,year,Latitude,Longitude,Zone,Postcode
LU,507,ANGu,Angel,Station entry / exit,Relate,13832,Exits,Sunday,2017,51.53296802,-0.105581449,1,N1 8XB
LU,507,ANGu,Angel,Station entry / exit,Relate,18236122.52,En/Ex,Annualised,2017,51.53296802,-0.105581449,1,N1 8XB
LU,508,ARCu,Archway,Station entry / exit,Relate,15336,Entries,Weekday (Mon-Fri),2017,51.56549053,-0.135121577,"2,3",N19 5RQ
LU,508,ARCu,Archway,Station entry / exit,Relate,10701,Entries,Saturday,2017,51.56549053,-0.135121577,"2,3",N19 5RQ
LU,508,ARCu,Archway,Station entry / exit,Relate,7424,Entries,Sunday,2017,51.56549053,-0.135121577,"2,3",N19 5RQ
LU,508,ARCu,Archway,Station entry / exit,Relate,13956,Exits,Weekday (Mon-Fri),2017,51.56549053,-0.135121577,"2,3",N19 5RQ
LU,508,ARCu,Archway,Station entry / exit,Relate,9023,Exits,Saturday,2017,51.56549053,-0.135121577,"2,3",N19 5RQ
LU,508,ARCu,Archway,Station entry / exit,Relate,6816,Exits,Sunday,2017,51.56549053,-0.135121577,"2,3",N19 5RQ
LU,508,ARCu,Archway,Station entry / exit,Relate,8806365.211,En/Ex,Annualised,2017,51.56549053,-0.135121577,"2,3",N19 5RQ
LU,509,AGRu,Arnos Grove,Station entry / exit,Relate,7443,Entries,Weekday (Mon-Fri),2017,51.61623014,-0.134270219,4,N11 1AN
LU,509,AGRu,Arnos Grove,Station entry / exit,Relate,5868,Entries,Saturday,2017,51.61623014,-0.134270219,4,N11 1AN
LU,509,AGRu,Arnos Grove,Station entry / exit,Relate,3986,Entries,Sunday,2017,51.61623014,-0.134270219,4,N11 1AN
LU,509,AGRu,Arnos Grove,Station entry / exit,Relate,6732,Exits,Weekday (Mon-Fri),2017,51.61623014,-0.134270219,4,N11 1AN
LU,509,AGRu,Arnos Grove,Station entry / exit,Relate,5100,Exits,Saturday,2017,51.61623014,-0.134270219,4,N11 1AN
LU,509,AGRu,Arnos Grove,Station entry / exit,Relate,3745,Exits,Sunday,2017,51.61623014,-0.134270219,4,N11 1AN
LU,509,AGRu,Arnos Grove,Station entry / exit,Relate,4372042.286,En/Ex,Annualised,2017,51.61623014,-0.134270219,4,N11 1AN
LU,510,ARLu,Arsenal,Station entry / exit,Relate,4622,Entries,Weekday (Mon-Fri),2017,51.55854138,-0.105499934,2,N5 1LP
LU,510,ARLu,Arsenal,Station entry / exit,Relate,3692,Entries,Saturday,2017,51.55854138,-0.105499934,2,N5 1LP
LU,510,ARLu,Arsenal,Station entry / exit,Relate,2626,Entries,Sunday,2017,51.55854138,-0.105499934,2,N5 1LP
LU,510,ARLu,Arsenal,Station entry / exit,Relate,3929,Exits,Weekday (Mon-Fri),2017,51.55854138,-0.105499934,2,N5 1LP
LU,510,ARLu,Arsenal,Station entry / exit,Relate,3071,Exits,Saturday,2017,51.55854138,-0.105499934,2,N5 1LP
LU,510,ARLu,Arsenal,Station entry / exit,Relate,2581,Exits,Sunday,2017,51.55854138,-0.105499934,2,N5 1LP
LU,510,ARLu,Arsenal,Station entry / exit,Relate,2671087.75,En/Ex,Annualised,2017,51.55854138,-0.105499934,2,N5 1LP
LU,511,BSTu,Baker Street,Station entry / exit,Relate,47116,Entries,Weekday (Mon-Fri),2017,51.52312962,-0.156904194,1,NW1 5LA
LU,511,BSTu,Baker Street,Station entry / exit,Relate,29088,Entries,Saturday,2017,51.52312962,-0.156904194,1,NW1 5LA
LU,511,BSTu,Baker Street,Station entry / exit,Relate,22260,Entries,Sunday,2017,51.52312962,-0.156904194,1,NW1 5LA
LU,511,BSTu,Baker Street,Station entry / exit,Relate,44913,Exits,Weekday (Mon-Fri),2017,51.52312962,-0.156904194,1,NW1 5LA
LU,511,BSTu,Baker Street,Station entry / exit,Relate,27901,Exits,Saturday,2017,51.52312962,-0.156904194,1,NW1 5LA
LU,511,BSTu,Baker Street,Station entry / exit,Relate,20754,Exits,Sunday,2017,51.52312962,-0.156904194,1,NW1 5LA
LU,511,BSTu,Baker Street,Station entry / exit,Relate,27340419.57,En/Ex,Annualised,2017,51.52312962,-0.156904194,1,NW1 5LA
LU,512,BALu,Balham LU,Station entry / exit,Relate,22562,Entries,Weekday (Mon-Fri),2017,51.44318256,-0.152685163,3,SW12 9SG
LU,512,BALu,Balham LU,Station entry / exit,Relate,17441,Entries,Saturday,2017,51.44318256,-0.152685163,3,SW12 9SG
LU,512,BALu,Balham LU,Station entry / exit,Relate,10809,Entries,Sunday,2017,51.44318256,-0.152685163,3,SW12 9SG
LU,512,BALu,Balham LU,Station entry / exit,Relate,22199,Exits,Weekday (Mon-Fri),2017,51.44318256,-0.152685163,3,SW12 9SG
LU,512,BALu,Balham LU,Station entry / exit,Relate,15581,Exits,Saturday,2017,51.44318256,-0.152685163,3,SW12 9SG
LU,512,BALu,Balham LU,Station entry / exit,Relate,10678,Exits,Sunday,2017,51.44318256,-0.152685163,3,SW12 9SG
LU,512,BALu,Balham LU,Station entry / exit,Relate,13584305.45,En/Ex,Annualised,2017,51.44318256,-0.152685163,3,SW12 9SG
LU,513,BNKu,Bank and Monument,Station entry / exit,Relate,112547,Entries,Weekday (Mon-Fri),2017,51.51334706,-0.089000124,1,EC3V 3LA
LU,513,BNKu,Bank and Monument,Station entry / exit,Relate,29906,Entries,Saturday,2017,51.51334706,-0.089000124,1,EC3V 3LA
LU,513,BNKu,Bank and Monument,Station entry / exit,Relate,17414,Entries,Sunday,2017,51.51334706,-0.089000124,1,EC3V 3LA
LU,513,BNKu,Bank and Monument,Station entry / exit,Relate,111709,Exits,Weekday (Mon-Fri),2017,51.51334706,-0.089000124,1,EC3V 3LA
LU,513,BNKu,Bank and Monument,Station entry / exit,Relate,29100,Exits,Saturday,2017,51.51334706,-0.089000124,1,EC3V 3LA
LU,513,BNKu,Bank and Monument,Station entry / exit,Relate,16333,Exits,Sunday,2017,51.51334706,-0.089000124,1,EC3V 3LA
LU,513,BNKu,Bank and Monument,Station entry / exit,Relate,59256074.45,En/Ex,Annualised,2017,51.51334706,-0.089000124,1,EC3V 3LA
LU,501,BARu,Barbican,Station entry / exit,Relate,20680,Entries,Weekday (Mon-Fri),2017,51.52021528,-0.097721579,1,EC1A 4JA
LU,501,BARu,Barbican,Station entry / exit,Relate,7416,Entries,Saturday,2017,51.52021528,-0.097721579,1,EC1A 4JA
LU,501,BARu,Barbican,Station entry / exit,Relate,5149,Entries,Sunday,2017,51.52021528,-0.097721579,1,EC1A 4JA
LU,501,BARu,Barbican,Station entry / exit,Relate,20512,Exits,Weekday (Mon-Fri),2017,51.52021528,-0.097721579,1,EC1A 4JA
LU,501,BARu,Barbican,Station entry / exit,Relate,7702,Exits,Saturday,2017,51.52021528,-0.097721579,1,EC1A 4JA
LU,501,BARu,Barbican,Station entry / exit,Relate,5351,Exits,Sunday,2017,51.52021528,-0.097721579,1,EC1A 4JA
LU,501,BARu,Barbican,Station entry / exit,Relate,11303155.03,En/Ex,Annualised,2017,51.52021528,-0.097721579,1,EC1A 4JA
LU,514,BKGu,Barking,Station entry / exit,Relate,29410,Entries,Weekday (Mon-Fri),2017,51.53952111,0.08083161,4,IG11 8TU
LU,514,BKGu,Barking,Station entry / exit,Relate,19930,Entries,Saturday,2017,51.53952111,0.08083161,4,IG11 8TU
LU,514,BKGu,Barking,Station entry / exit,Relate,14113,Entries,Sunday,2017,51.53952111,0.08083161,4,IG11 8TU
LU,514,BKGu,Barking,Station entry / exit,Relate,28165,Exits,Weekday (Mon-Fri),2017,51.53952111,0.08083161,4,IG11 8TU
LU,514,BKGu,Barking,Station entry / exit,Relate,18712,Exits,Saturday,2017,51.53952111,0.08083161,4,IG11 8TU
LU,514,BKGu,Barking,Station entry / exit,Relate,13372,Exits,Sunday,2017,51.53952111,0.08083161,4,IG11 8TU
LU,514,BKGu,Barking,Station entry / exit,Relate,17278582.1,En/Ex,Annualised,2017,51.53952111,0.08083161,4,IG11 8TU
LU,515,BDEu,Barkingside,Station entry / exit,Relate,2723,Entries,Weekday (Mon-Fri),2017,51.58585061,0.08847664,4,IG6 1NB
LU,515,BDEu,Barkingside,Station entry / exit,Relate,1440,Entries,Saturday,2017,51.58585061,0.08847664,4,IG6 1NB
LU,515,BDEu,Barkingside,Station entry / exit,Relate,931,Entries,Sunday,2017,51.58585061,0.08847664,4,IG6 1NB
LU,515,BDEu,Barkingside,Station entry / exit,Relate,2661,Exits,Weekday (Mon-Fri),2017,51.58585061,0.08847664,4,IG6 1NB
LU,515,BDEu,Barkingside,Station entry / exit,Relate,1403,Exits,Saturday,2017,51.58585061,0.08847664,4,IG6 1NB
LU,515,BDEu,Barkingside,Station entry / exit,Relate,934,Exits,Sunday,2017,51.58585061,0.08847664,4,IG6 1NB
LU,515,BDEu,Barkingside,Station entry / exit,Relate,1543739.851,En/Ex,Annualised,2017,51.58585061,0.08847664,4,IG6 1NB
LU,516,BCTu,Barons Court,Station entry / exit,Relate,12188,Entries,Weekday (Mon-Fri),2017,51.49022868,-0.213430145,2,W14 9DP
LU,516,BCTu,Barons Court,Station entry / exit,Relate,7011,Entries,Saturday,2017,51.49022868,-0.213430145,2,W14 9DP
LU,516,BCTu,Barons Court,Station entry / exit,Relate,5009,Entries,Sunday,2017,51.49022868,-0.213430145,2,W14 9DP
LU,516,BCTu,Barons Court,Station entry / exit,Relate,10959,Exits,Weekday (Mon-Fri),2017,51.49022868,-0.213430145,2,W14 9DP
LU,516,BCTu,Barons Court,Station entry / exit,Relate,6051,Exits,Saturday,2017,51.49022868,-0.213430145,2,W14 9DP
LU,516,BCTu,Barons Court,Station entry / exit,Relate,4894,Exits,Sunday,2017,51.49022868,-0.213430145,2,W14 9DP
LU,516,BCTu,Barons Court,Station entry / exit,Relate,6769846.887,En/Ex,Annualised,2017,51.49022868,-0.213430145,2,W14 9DP
LU,517,BAYu,Bayswater,Station entry / exit,Relate,6946,Entries,Weekday (Mon-Fri),2017,51.51211129,-0.187901574,1,W2 4QH
LU,517,BAYu,Bayswater,Station entry / exit,Relate,6916,Entries,Saturday,2017,51.51211129,-0.187901574,1,W2 4QH
LU,517,BAYu,Bayswater,Station entry / exit,Relate,6033,Entries,Sunday,2017,51.51211129,-0.187901574,1,W2 4QH
LU,517,BAYu,Bayswater,Station entry / exit,Relate,6309,Exits,Weekday (Mon-Fri),2017,51.51211129,-0.187901574,1,W2 4QH
LU,517,BAYu,Bayswater,Station entry / exit,Relate,6409,Exits,Saturday,2017,51.51211129,-0.187901574,1,W2 4QH
LU,517,BAYu,Bayswater,Station entry / exit,Relate,5286,Exits,Sunday,2017,51.51211129,-0.187901574,1,W2 4QH
LU,517,BAYu,Bayswater,Station entry / exit,Relate,4437690.765,En/Ex,Annualised,2017,51.51211129,-0.187901574,1,W2 4QH
LU,518,BECu,Becontree,Station entry / exit,Relate,6034,Entries,Weekday (Mon-Fri),2017,51.53958541,0.126880292,5,RM9 4TP
LU,518,BECu,Becontree,Station entry / exit,Relate,3935,Entries,Saturday,2017,51.53958541,0.126880292,5,RM9 4TP
LU,518,BECu,Becontree,Station entry / exit,Relate,2549,Entries,Sunday,2017,51.53958541,0.126880292,5,RM9 4TP
LU,518,BECu,Becontree,Station entry / exit,Relate,5638,Exits,Weekday (Mon-Fri),2017,51.53958541,0.126880292,5,RM9 4TP
LU,518,BECu,Becontree,Station entry / exit,Relate,3595,Exits,Saturday,2017,51.53958541,0.126880292,5,RM9 4TP
LU,518,BECu,Becontree,Station entry / exit,Relate,2423,Exits,Sunday,2017,51.53958541,0.126880292,5,RM9 4TP
LU,518,BECu,Becontree,Station entry / exit,Relate,3458723.072,En/Ex,Annualised,2017,51.53958541,0.126880292,5,RM9 4TP
LU,519,BPKu,Belsize Park,Station entry / exit,Relate,10868,Entries,Weekday (Mon-Fri),2017,51.55019088,-0.163974493,2,NW3 2AL
LU,519,BPKu,Belsize Park,Station entry / exit,Relate,6114,Entries,Saturday,2017,51.55019088,-0.163974493,2,NW3 2AL
LU,519,BPKu,Belsize Park,Station entry / exit,Relate,4791,Entries,Sunday,2017,51.55019088,-0.163974493,2,NW3 2AL
LU,519,BPKu,Belsize Park,Station entry / exit,Relate,9207,Exits,Weekday (Mon-Fri),2017,51.55019088,-0.163974493,2,NW3 2AL
LU,519,BPKu,Belsize Park,Station entry / exit,Relate,5596,Exits,Saturday,2017,51.55019088,-0.163974493,2,NW3 2AL
LU,519,BPKu,Belsize Park,Station entry / exit,Relate,4541,Exits,Sunday,2017,51.55019088,-0.163974493,2,NW3 2AL
LU,519,BPKu,Belsize Park,Station entry / exit,Relate,5926276.132,En/Ex,Annualised,2017,51.55019088,-0.163974493,2,NW3 2AL
LU,787,BERu,Bermondsey,Station entry / exit,Relate,16503,Entries,Weekday (Mon-Fri),2017,51.49796078,-0.06433009,2,SE16 4RX
LU,787,BERu,Bermondsey,Station entry / exit,Relate,12706,Entries,Saturday,2017,51.49796078,-0.06433009,2,SE16 4RX
LU,787,BERu,Bermondsey,Station entry / exit,Relate,8848,Entries,Sunday,2017,51.49796078,-0.06433009,2,SE16 4RX
LU,787,BERu,Bermondsey,Station entry / exit,Relate,16121,Exits,Weekday (Mon-Fri),2017,51.49796078,-0.06433009,2,SE16 4RX
LU,787,BERu,Bermondsey,Station entry / exit,Relate,12536,Exits,Saturday,2017,51.49796078,-0.06433009,2,SE16 4RX
LU,787,BERu,Bermondsey,Station entry / exit,Relate,9373,Exits,Sunday,2017,51.49796078,-0.06433009,2,SE16 4RX
LU,787,BERu,Bermondsey,Station entry / exit,Relate,10083167.12,En/Ex,Annualised,2017,51.49796078,-0.06433009,2,SE16 4RX
LU,520,BNGu,Bethnal Green LU,Station entry / exit,Relate,23869,Entries,Weekday (Mon-Fri),2017,51.52719174,-0.055392112,2,E2 0ET
LU,520,BNGu,Bethnal Green LU,Station entry / exit,Relate,20599,Entries,Saturday,2017,51.52719174,-0.055392112,2,E2 0ET
LU,520,BNGu,Bethnal Green LU,Station entry / exit,Relate,15643,Entries,Sunday,2017,51.52719174,-0.055392112,2,E2 0ET
